127	509	19	18.32
6380	116	4	8.13
155	1470	5	8.48
3388	1228	4	35.4
292	631	7	27.59
383	5811	3	21.56
109	3705	7	10.52
106	1476	23	39.14
169	878	6	9.86
570	769	3	10.43
11054	9	3	8.8
1906	865	3	18.27
1908	116	12	19.42
17386	8	3	12.83
142	2013	5	7.59
4321	1438	5	51.4
172	480	17	43.97
145	141	95	38.4
1190	104	22	9.43
811	824	3	13.37
4703	119	6	13.67
145	2638	4	7.52
1074	3097	3	22.76
101	9661	5	8.63
6	9	22	7.73
17767	499	3	34.02
269	5791	8	79.01
433	1004	3	10.22
4325	103	9	9.34
116	4112	7	16.92
837	586	4	17.11
6785	124	3	6.94
260	7516	3	20.74
7109	15628	3	51.7
